State,Visa not required,Visa On arrival,ETA required,eVisa required,Visa required,Admission refused
Afghanistan,4,16,1,6,166,0
Albania,60,30,1,9,93,0
Algeria,13,31,1,11,137,0
Andorra,90,38,1,7,57,0
Angola,18,24,0,8,143,0
Antigua and Barbuda,92,25,1,10,65,0
Argentina,98,36,1,7,51,0
Armenia,26,26,1,10,129,1
Australia,97,44,2,10,40,0
Austria,113,30,2,9,39,0
Azerbaijan,29,30,1,8,125,0
Bahamas,94,27,1,5,66,0
Bahrain,35,28,1,12,117,0
Bangladesh,15,17,0,8,152,1
Barbados,99,28,1,5,60,0
Belarus,36,31,1,8,117,0
Belgium,112,31,2,8,40,0
Belize,55,24,1,8,105,0
Benin,26,27,0,5,135,0
Bhutan,13,30,0,6,144,0
Bolivia,29,32,1,7,124,0
Bosnia and Herzegovina,64,31,1,8,89,0
Botswana,36,22,1,4,130,0
Brazil,101,35,1,8,48,0
Brunei,88,40,3,7,55,0
Bulgaria,106,29,1,10,47,0
Burkina Faso,25,24,1,9,134,0
Burundi,19,25,0,7,142,0
Cambodia,16,27,1,7,142,0
Cameroon,17,26,0,9,141,0
Canada,101,39,2,12,39,0
Cape Verde,29,25,0,9,130,0
Central African Republic,16,26,1,3,147,0
Chad,18,26,1,7,141,0
Chile,97,35,2,7,52,0
China,19,33,1,16,124,0
Colombia,66,32,1,12,82,0
Comoros,12,28,0,7,146,0
Costa Rica,84,30,1,8,70,0
Croatia,105,28,1,9,50,0
Cuba,25,32,1,10,125,0
Cyprus,112,26,1,8,46,0
Czech Republic,112,28,2,11,40,0
Democratic Republic of the Congo,16,23,1,5,148,0
Denmark,114,31,2,8,38,0
Djibouti,9,28,0,9,147,0
Dominica,78,28,1,7,79,0
Dominican Republic,19,34,1,9,130,0
Ecuador,39,35,1,9,109,0
Egypt,15,29,0,6,143,0
El Salvador,75,30,1,8,79,0
Equatorial Guinea,11,30,1,8,143,0
Eritrea,8,30,1,7,147,0
Estonia,108,29,2,7,47,0
Ethiopia,9,27,1,4,151,1
Fiji,41,30,0,4,118,0
Finland,115,30,2,9,37,0
France,114,31,2,7,39,0
Gabon,19,27,1,8,138,0
Gambia,41,20,0,9,123,0
Georgia,64,30,1,10,88,0
Germany,115,32,2,7,37,0
Ghana,36,18,0,7,132,0
Greece,111,30,2,8,42,0
Grenada,86,26,1,6,74,0
Guatemala,73,31,1,9,79,0
Guinea,25,22,0,11,131,4
Guinea-Bissau,24,22,0,9,138,0
Guyana,39,30,1,7,116,0
Haiti,11,28,1,7,146,0
Honduras,75,30,1,6,81,0
Hungary,111,29,2,10,41,0
Iceland,108,32,2,7,44,0
India,18,26,1,15,133,0
Indonesia,23,31,1,13,125,0
Iran,10,24,1,10,147,1
Iraq,5,18,1,8,161,0
Ireland,106,35,2,12,38,0
Israel,96,32,1,7,42,15
Italy,115,30,2,8,38,0
Ivory Coast,29,20,1,7,136,0
Jamaica,50,23,1,10,109,0
Japan,107,38,3,4,41,0
Jordan,14,25,1,12,141,0
Kazakhstan,33,32,1,6,121,0
Kenya,36,27,1,6,123,0
Kiribati,69,31,0,4,89,0
Kuwait,43,34,1,10,105,0
Kyrgyzstan,24,31,1,4,133,0
Laos,16,23,0,11,143,0
Latvia,108,30,2,7,46,0
Lebanon,11,25,0,14,143,0
Lesotho,40,23,1,5,124,0
Liberia,23,21,0,10,137,2
Libya,10,24,1,7,151,0
Liechtenstein,104,33,2,6,48,0
Lithuania,109,29,2,7,46,0
Luxembourg,113,31,2,8,39,0
Macedonia,68,34,1,12,78,0
Madagascar,18,27,1,8,139,0
Malawi,36,23,1,5,128,0
Malaysia,110,36,2,7,38,0
Maldives,40,30,0,6,117,0
Mali,27,20,0,9,137,0
Malta,112,27,2,8,44,0
Marshall Islands,65,32,0,7,89,0
Mauritania,24,25,0,10,134,0
Mauritius,87,29,1,6,70,0
